ax,ay,az,gx,gy,gz
14488,7180,4532,131,-36,-445
16656,8736,4652,130,68,449
12016,8356,1704,-64,299,-823
13020,6420,4264,467,-132,-213
14824,9408,3280,-206,203,514
10100,1836,236,-69,-426,-310
14952,12776,-144,259,660,668
14840,8108,2936,-298,-163,-31
13816,6968,4204,34,173,111
14124,12584,5584,7,244,-68
13316,4692,1896,507,-338,-513
14988,10384,4228,-268,27,175
11036,6120,5916,-108,-787,-100
15344,11560,4828,220,454,483
15988,8124,4040,-326,-200,114
13556,6632,3580,97,225,113
12908,11496,-304,-120,-40,-178
16128,6952,11704,404,-238,-527
15040,9260,1452,-214,282,558
11108,3184,3808,-50,-323,-260
13160,14376,256,-71,562,432
12972,6432,808,455,53,-148
15352,8508,3484,-172,201,235
7496,2644,-1232,45,-867,-396
11720,9280,-1572,229,1016,377
13076,5828,6356,-56,-472,30
16400,9784,3484,-66,349,496
11728,6728,-160,-105,-364,-726
14492,9152,6816,326,25,-99
13044,5976,6020,-206,-416,-215
14184,6392,4420,-4,168,503
10880,9628,-816,-234,-409,203
14644,7300,3440,430,255,-223
16156,7968,-1312,-266,242,-13
11720,3552,4208,70,-494,-576
11508,11364,-3020,-180,285,25
13528,5884,4444,207,-141,28
16908,11164,6248,-319,439,635
12752,6876,2220,-48,-665,-383
12016,8980,-3364,306,542,-120
11868,5916,3468,104,-532,-402
15484,8648,4972,-226,343,452
12584,6820,3932,-132,-107,-66
14276,11044,1780,363,899,379
15508,8304,5928,-39,-570,-307
16056,9116,3712,-90,303,-47
8040,4780,-868,-78,-606,-80
14828,11184,1484,212,624,707
15396,9872,5496,-157,-367,-309
18356,10080,6556,94,433,404
9540,4108,-5932,-89,-155,-1054
12116,9116,-1128,252,179,661
14972,9296,4732,-204,-540,-40
16068,11668,2008,-249,202,520
11028,7744,-780,-10,-325,-565
10896,9112,-4524,347,811,-78
12344,4716,4588,157,-245,-173
15516,9812,748,-305,400,680
12968,6796,3248,-132,-660,-458
14224,12380,-780,164,737,-29
12688,4604,2896,273,-435,-530
14976,10144,3200,-385,307,584
11900,5640,3524,-36,-647,-55
14232,15860,-280,-128,491,48
13084,4976,1376,440,-326,-343
15272,9916,3216,-201,301,167
9168,1444,716,38,73,-126
11364,12276,-4332,-121,34,329
13568,7632,-1792,491,259,-156
16756,8088,3476,-288,243,-450
12200,4564,4792,96,-553,287
12236,9676,5332,-307,-135,-76
15920,9984,6412,400,64,371
17816,10252,8324,-282,-6,-224
13788,4248,5116,102,-174,-101
7604,6132,-2152,-240,-498,-205
14296,9200,6888,323,200,400
14952,9092,1760,-382,-140,26
16028,8460,5036,168,313,155
10156,6412,-2632,-324,-116,-995
11928,7084,512,563,486,250
14620,5740,3636,-322,-399,-188
17740,10848,6100,-26,421,533
13664,9316,4396,-244,-359,-786
11832,8604,-1464,415,437,321
11940,5592,5428,-45,-834,-368
15912,9100,5588,-272,609,642
13164,6188,4980,-145,-545,-175
15056,13224,-372,38,886,-202
13016,4396,3732,383,-480,-495
14056,9100,856,-257,286,553
13572,7176,6332,21,-214,161
11232,11572,-3640,-98,439,-88
12772,7952,-424,529,317,123
12400,7128,-544,-107,-128,-657
14628,8880,340,-207,133,489
12936,6460,5060,-163,-369,-243
16164,16480,5136,-25,741,-132
12612,3648,580,493,-226,-335
13844,9340,880,-262,249,386
14428,6872,8412,-66,-280,232
10940,11872,-3848,-201,83,-18
12376,9168,-1908,561,535,107
13400,7024,1028,-77,-231,-527
15076,8720,1612,-184,311,594
13392,6096,5820,-170,-699,-195
15880,16816,5072,-4,679,-64
12408,3680,3200,437,-147,-475
13888,6700,-1056,-283,83,131
12720,5800,3620,-65,-110,316
11880,8480,-32,-228,-137,-166
14736,10960,4384,461,438,181
12672,6476,-88,-46,-483,-554
14132,7872,1608,-100,344,535
9712,4600,-960,-193,13,-534
15452,13860,524,108,711,276
13332,7388,1640,273,-32,-393
16256,9212,4600,-261,198,-36
10140,5964,3456,105,-612,-221
15260,12528,5588,-126,523,84
14112,8188,5928,246,-224,224
16320,12212,-1864,-222,396,457
11220,4756,2424,225,-577,-277
14936,12504,5152,65,902,-402
11948,5012,4524,327,-315,-125
15844,10332,3112,-315,649,572
12816,6924,5792,-62,-574,-39
16408,13904,3660,-33,518,-62
13452,5496,3416,197,-245,-345
15700,6992,1276,-55,429,-57
9712,6088,1744,-184,-334,-744
10664,6528,-2148,519,483,308
15936,6728,5864,-492,96,-37
13056,6204,2312,184,70,660
13704,12096,2600,-116,462,13
14028,8492,-1092,487,372,-276
15556,10676,-1124,-159,500,266
11772,3152,5956,120,-524,-629
13704,10664,5740,-6,366,-121
13280,6260,5844,195,-267,-137
15876,8964,4988,-203,490,615
11912,7064,0,-199,-464,-41
14788,11360,4644,364,522,412
14548,8776,-376,-239,-124,-193
13556,6028,3604,279,-11,321
10708,8172,-1800,-211,210,-786
12092,5952,2688,476,-116,-216
13656,8872,392,-262,313,596
11352,3492,3940,-110,-479,-224
16084,13812,5508,-140,475,452
13828,8604,1828,212,-257,40
17364,11148,4656,-188,346,358
11376,7228,-36,-194,-297,-691
13540,8456,2836,555,242,-21
12408,7216,1004,-404,-470,-638
12504,4628,7780,127,-497,190
10064,10668,-4268,-313,-50,-67
15392,7760,7852,314,-17,87
17268,11264,2652,-394,141,642
11904,5904,2316,28,-491,-210
15268,15428,4164,9,473,83
12304,4524,-684,407,-347,-341
15756,7956,3508,-369,317,-78
8340,3112,576,-104,-1008,-357
14704,10128,9064,295,60,715
14308,8128,4444,-277,-207,-173
14504,7320,3904,75,167,578
13040,11312,3940,-195,85,305
15600,9292,3232,414,218,9
18012,12024,1760,-287,694,429
13584,8244,7172,-28,-695,-484
14592,10732,2152,527,794,439
13328,7464,-1040,-118,-280,-360
11232,3840,-20,169,-95,-409
15184,13576,4144,-96,393,-441
11512,5168,-916,272,-31,-608
13824,8168,1072,-72,34,527
8024,7752,-2648,-86,-91,-176
13296,7944,4592,401,226,263
15932,9780,2012,-482,371,506
12316,5780,5144,-31,-523,-97
16292,13400,3628,78,640,393
15344,9364,5484,-137,-414,-304
15176,7704,4304,64,429,147
12208,11520,-904,-169,73,-206
13744,5244,5196,517,-244,-212
16064,9900,3984,-248,162,30
8936,4732,-3788,-109,-263,-951
11956,8416,1252,436,45,152
14280,7304,-856,-280,294,88
12004,3160,4668,46,-136,-198
15416,12500,6412,-228,485,145
12676,6216,4620,-136,-472,-34
16504,8764,6144,-41,-93,777
13884,11128,5268,-58,445,225
15620,6160,9556,314,-74,-129
18404,13008,6104,-248,516,304
13732,9120,4876,-260,-278,-840
18232,11252,12392,421,-79,-27
16964,9472,-472,-261,182,-27
10720,3128,520,135,-487,-537
14988,10620,6276,335,766,-170
11708,6368,-672,-79,-264,-450
12084,6292,2056,139,-471,322
8592,9624,-6252,-164,303,-83
14020,6656,3724,266,-157,-118
16364,9812,3648,-412,400,516
13468,7128,5588,-168,90,-305
15320,11428,5916,403,414,562
16140,10256,2156,-397,20,150
13676,6208,6028,113,-110,-14
16024,16408,5412,-79,586,25
13600,5940,2668,439,-161,-121
16936,11172,4292,-30,290,499
11816,5708,2436,-4,-349,-885
12688,7988,1228,347,138,-117
16552,9176,6540,-332,-115,-415
10340,3552,1648,162,-215,-89
13400,11172,4208,-177,190,-8
13608,4696,5816,208,-368,-91
16440,9880,5900,-293,465,540
11028,6704,-1124,-107,144,-285
15764,11812,3880,361,479,694
18444,10428,6412,-391,-140,156
14124,7188,4524,92,-143,87
14960,16236,2308,-175,544,13
13724,5492,3056,370,3,-181
16300,11044,1112,-117,310,468
12600,8916,2432,-81,-335,-826
16320,10452,11344,415,54,-5
17980,8832,8132,-290,-457,-533
12040,6088,3968,122,-466,192
8948,10048,-3736,-196,21,-245
13064,6488,4548,366,-245,110
16340,10564,2184,-413,430,430
13632,6800,6588,58,-166,100
14424,14432,2448,-98,355,379
16412,9492,5248,429,-18,-89
16988,11740,-1368,-239,668,292
12108,5344,3380,85,-629,-405
14536,13608,236,23,356,-71
14548,7528,7232,450,-243,-633
14320,9396,828,-256,393,229
10028,3636,6272,32,-724,-165
14268,11932,4276,-312,241,80
14276,5924,6824,269,13,-92
18356,12120,4376,-352,429,720
11172,5764,2724,134,-320,110
12952,13028,-544,-188,218,-68
13764,7148,-1304,458,133,-359
18052,8408,7756,-181,202,-292
12872,5232,2976,135,-50,-40
7752,4740,-2428,-229,-588,-278
15168,11512,8484,191,328,566
13168,7028,1980,85,-257,13
16752,13004,512,-331,587,790
14068,6728,7492,57,-305,-51
12872,12728,112,-151,342,-324
16888,11656,8160,533,544,7
13844,6872,5756,-99,-540,-647
15360,8856,4576,-264,-74,344
11368,3352,4780,-126,-571,-308
14836,14184,3176,-275,221,239
13480,9764,3132,463,196,574
15400,8084,5788,-224,-440,-282
17568,12156,5928,-148,369,335
13264,4100,7716,198,-407,-527
12680,10964,-236,-201,0,-656
12968,9880,3264,399,-89,154
12648,5408,3624,-195,-589,-123
17548,9600,7848,-404,359,493
12060,5060,4964,-61,-711,6
11976,11868,-3292,-169,351,-46
15916,12196,6752,473,440,-17
15488,7912,6936,38,-323,-362
16948,7380,5160,-363,121,-183
10056,2424,4968,95,-720,-250
9568,10120,-3752,-251,216,-160
14868,11736,1964,380,445,452
14472,7820,5456,-50,-449,-14
16716,11456,-1044,-318,507,438
12064,5704,2340,247,-237,-43
10852,9164,-3624,-127,111,-806
10776,9616,-2420,462,626,283
12288,5636,3024,262,-181,-153
17824,10872,3456,-366,555,586
13452,6076,1620,129,200,588
12548,7492,3236,-257,-65,-602
15772,13080,2140,220,693,66
15516,5968,9428,304,-114,-571
14380,9880,2504,-276,-18,51
9592,3568,4092,1,-697,-160
16188,13656,7056,-247,266,214
14684,8216,8636,261,-148,254
17464,13288,1948,-243,563,399
11612,5092,896,236,-444,-207
15264,13460,6632,-11,668,-360
12224,4864,3692,407,-247,-198
18112,11092,3940,-396,467,578
11452,5292,3460,57,-372,209
12888,12848,-312,-194,486,-237
16820,7880,9692,463,-20,-301
16660,8692,6244,-343,189,-592
12572,5480,5572,34,-374,305
12504,8992,5604,-251,91,-18
14484,10428,5516,420,254,497
17032,10768,5380,-175,-121,-162
15536,8592,932,103,115,535
9776,4720,-2596,-143,-607,-763
10916,7948,-2236,405,739,601
13004,5308,6616,90,-322,-36
17952,11936,6632,-259,450,617
15024,8220,8708,-84,-778,-460
11848,10236,-5292,10,410,-203
14388,5784,7860,247,-693,-345
15196,10360,-40,-342,416,484
12388,5868,2868,-10,-622,24
13748,15520,-944,-65,379,43
13404,4636,3732,577,-230,-193
15040,9972,152,-263,574,90
10352,3016,5492,76,-550,-103
13748,13652,-312,-294,406,106
16408,8352,7964,424,192,57
18124,11224,2100,-289,328,168
11784,3500,-524,104,-235,-541
12084,11832,6504,-168,224,-391
12868,7404,3748,415,11,121
16436,8972,-364,-446,-76,165
16624,8312,7296,71,301,173
11876,6604,-4,-183,-113,-707
13132,9016,5484,461,68,128
11884,5324,2020,-182,-652,-120
16448,10760,5952,-190,126,924
11544,7096,-668,-103,135,-602
14968,12272,1868,188,778,-28
15240,5872,7980,233,-437,-689
14908,8464,2468,-277,332,586
13384,6220,7372,17,-540,118
13648,12808,1220,-179,428,12
16160,9744,5068,514,159,-162
14608,7696,-2520,-380,301,-386
12708,4448,7492,41,-588,292
10876,8568,-232,-199,73,96
14420,10772,4284,296,395,445
15556,8072,7372,-78,-434,-410
16796,7512,4404,-188,188,-146
8472,1364,1300,36,-775,-93
15920,13988,5364,-165,605,305
17336,9632,9636,410,-109,-199
18148,11268,3916,-231,388,256
12544,5256,5020,112,-324,-573
9520,9404,-2632,-122,282,-101
14828,10252,4172,331,118,164
16212,9904,-928,-401,210,263
14028,6660,7816,91,-260,2
9728,7560,-5760,-159,266,-743
10348,7060,-1976,442,-110,131
16752,8704,2420,-443,-49,-114
16132,9036,3228,-65,22,647
11932,9628,-1244,-149,304,-658
12752,9556,-2632,492,185,-24
12008,7004,1380,-156,-428,-281
13624,6756,2612,-158,16,559
12728,7720,4256,-214,-321,-144
14852,11952,4284,333,558,253
14664,6404,6784,-8,-639,-499
14760,8152,4028,8,68,398
12908,4896,5712,-255,-113,-441
15392,11884,5252,131,699,386
15168,8312,6812,277,-130,-412
15696,8708,2052,-251,136,54
10888,3792,8856,114,-668,-243
13288,12916,-1712,-166,945,120
17040,10068,7708,369,-63,-98
17732,10824,3912,-179,435,232
12776,2696,7200,13,-388,-623
11132,11240,1168,-294,169,-235
14752,7820,4804,420,131,371
17856,10316,7104,-386,-23,-78
13356,5020,1508,253,282,169
9480,6852,672,-297,-441,-681
13276,8916,3652,356,418,420
15284,7460,3972,-317,-177,127
15724,6872,5984,128,423,115
13300,9148,2836,-78,129,-503
14564,10656,5348,378,81,-337
14632,8080,-652,-336,-57,-170
15296,7560,5324,55,80,539
12592,8056,2468,-184,-22,-99
13420,11596,-1848,476,245,109
17012,8004,2004,-319,-569,-495
12248,5948,3492,209,-340,159
12528,11568,7156,-391,-538,-24
15732,10660,6124,374,132,378
18784,11752,5832,-361,179,353
11756,6048,1724,-4,-614,-389
14932,12432,1712,110,488,-46
14240,5532,6352,172,-194,-813
14404,8180,3852,-38,15,456
8248,7244,-1932,-197,-77,-266
14932,9492,6560,372,311,375
17152,10984,3424,-355,246,584
12548,6556,5252,-16,-682,-165
14616,13280,-1832,5,921,-198
12788,6044,-268,114,-371,-419
15776,6504,3468,-37,234,-10
11300,9464,3760,-324,-376,-767
10280,5552,-72,574,261,27
16928,11056,3232,-375,447,536
11372,4996,2080,-143,-363,-216
16232,14084,3028,298,611,655
15208,8896,708,-297,-34,0
13616,7612,184,77,-69,33
15792,16156,2760,71,511,115
15324,6320,7656,282,20,-521
15784,6724,2968,-14,356,-83
11744,10316,3724,-208,55,-805
14184,6844,10472,404,-452,-120
14676,9616,2380,-265,211,573
9968,5040,-364,-242,-474,-273
12944,6956,4340,424,352,350
16856,10800,3216,-386,390,691
12512,5608,2960,-222,-482,-240
15116,11728,3672,434,297,616
19104,12348,5148,-363,190,317
13800,6888,4872,-123,-560,-502
15380,13340,4396,355,467,239
15968,10072,-2220,-209,204,-35
12332,2920,3612,211,-551,-402
16340,11240,7884,50,338,-362
13920,6748,4964,-64,-758,-549
13596,5628,4864,10,-126,453
10216,10356,2132,-353,-440,-102
14036,6064,4808,317,-74,-55
18460,11228,7260,-368,306,759
12408,6344,2928,-134,-82,-267
14772,11224,5620,336,343,451
17148,11720,-1244,-333,175,-145
12544,6200,4072,66,-466,-410
14760,12420,2196,112,592,-75
13572,5884,2876,120,-195,-730
14460,6900,5048,-7,27,167
8684,5940,2160,-211,-368,-102
12952,6028,4820,340,64,86
18072,12124,3176,-369,489,706
11476,5236,1160,-116,-710,35
13200,11164,-520,312,899,349
13868,8632,508,-234,-28,-223
13296,7252,4952,227,-255,231
12156,10440,-1172,27,432,-93
15224,5364,7984,256,-222,-776
15232,8904,3992,-90,305,56
11000,9728,2776,-229,-432,-519
13608,7072,7868,440,-328,67
15044,9132,2716,-307,237,473
10316,4988,1364,-123,-293,-310
15064,11372,2628,323,566,488
16892,9340,1384,-396,208,174
11280,4864,2144,116,-458,350
13368,14988,-2028,-14,652,385
14984,7796,7328,228,-187,-192
15944,10768,852,-186,172,421
12064,7236,620,-144,-225,-788
14248,11232,5800,447,122,-81
14672,7996,2992,-306,-447,-501
12388,5336,8048,176,-598,414
11484,9072,3072,-388,-398,-132
14300,6856,7360,328,-36,177
16716,10420,116,-370,182,543
12548,6472,3716,-21,-638,-172
13492,12168,-2912,29,627,-8
15132,6936,7420,305,-342,-327
17208,7476,4944,-279,5,-143
11876,7408,7824,-124,-725,-417
11684,6724,724,292,273,449
14700,6648,6132,-333,-79,-58
13988,6288,2956,32,56,647
12276,11020,3940,-237,-174,13
14608,7576,1496,412,146,-176
16040,9620,-1932,-322,134,148
12828,3664,4716,174,-630,-435
12728,11244,-2828,50,850,-386
13124,5060,4592,225,-241,-339
13832,7860,1512,-93,534,511
10560,5664,-1304,-321,-448,-295
13804,9988,3628,436,445,636
17016,10788,1156,-280,103,274
15004,7700,9556,120,-50,-78
